make,model,trim,cylinder_layout,number_of_cylinders,engine_type,mixed_fuel_consumption_per_100km,city_fuel_per_100km,highway_fuel_per_100km
157,Alfa Romeo,Giulia,2.2 D AT,Inline,4,Diesel,4.2,5.3,3.5
158,Alfa Romeo,Giulia,2.2 D AT,Inline,4,Diesel,4.2,5.3,3.5
159,Alfa Romeo,Giulia,2.2 D AT Q4,Inline,4,Diesel,4.7,5.8,4
160,Alfa Romeo,Giulia,2.2 D AT Q4,Inline,4,Diesel,4.7,5.8,4
161,Alfa Romeo,Giulia,2.2 D MT,Inline,4,Diesel,4.2,5.3,3.5
162,Alfa Romeo,Giulia,2.9 AT,V-type,6,Gasoline,8.2,12.4,5.7
163,Alfa Romeo,Giulia,2.9 MT,V-type,6,Gasoline,8.5,12.8,6
164,Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,10.1,12.2,7.5
165,Alfa Romeo,Giulietta,1.6 MT,Inline,4,Gasoline,9.6,13.2,7.6
166,Alfa Romeo,Giulietta,1.8 MT,Inline,4,Gasoline,10.1,13.2,7.4
167,Alfa Romeo,Giulietta,2.0 MT,Inline,4,Gasoline,9.6,13.5,7.1
168,Alfa Romeo,Giulietta,1.6 MT,Inline,4,Gasoline,9.1,11.9,6.8
169,Alfa Romeo,Giulietta,1.8 MT,Inline,4,Gasoline,9,12.2,6.9
170,Alfa Romeo,Giulietta,2.0 MT,Inline,4,Gasoline,9.7,12.9,7.3
171,Alfa Romeo,Giulietta,2.0 TD MT,Inline,4,Diesel,8.1,9.1,6.2
172,Alfa Romeo,Giulietta,2.0 T MT,Inline,4,Gasoline,12.2,14.1,9.3
173,Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,9.4,11.8,7.4
174,Alfa Romeo,Giulietta,1.6 MT,Inline,4,Gasoline,9.1,11.9,6.8
175,Alfa Romeo,Giulietta,1.8 MT,Inline,4,Gasoline,9,12.2,6.9
176,Alfa Romeo,Giulietta,2.0 MT,Inline,4,Gasoline,9.6,13.5,7.1
177,Alfa Romeo,Giulietta,2.0 TD MT,Inline,4,Diesel,8.1,9.1,6.2
178,Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,7.8,8,6.6
179,Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,8.4,11,7
180,Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,8.5,11.3,6.7
181,Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,8.4,10.9,6.7
182,Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,8.4,10.9,6.7
183,Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,7.9,8.5,6.3
184,Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,8.4,11.3,6.6
185,Alfa Romeo,Giulietta,1.3 MT,Inline,4,Gasoline,7.9,10.3,6.2
186,Alfa Romeo,Giulietta,1.4 AMT,inline,4,petrol,4.9,6.3,4.1
187,Alfa Romeo,Giulietta,1.4 MT,inline,4,petrol,6.2,8.1,5.1
188,Alfa Romeo,Giulietta,1.4 MT,inline,4,petrol,5.5,7.4,4.4
189,Alfa Romeo,Giulietta,1.6 AMT,inline,4,diesel,3.8,4.7,3.2
190,Alfa Romeo,Giulietta,1.6 MT,inline,4,diesel,3.9,4.9,3.3
191,Alfa Romeo,Giulietta,1.7 AMT,inline,4,petrol,6.8,9.5,5.2
192,Alfa Romeo,Giulietta,2.0 AMT,inline,4,diesel,4.3,5.1,3.8
193,Alfa Romeo,Giulietta,2.0 MT,inline,4,diesel,4.2,5,3.7
194,Alfa Romeo,Giulietta,1.4 TB MT,Inline,4,Gasoline,6.4,8.4,5.3
195,Alfa Romeo,Giulietta,1.4 TB MultiAir MT,Inline,4,Gasoline,5.8,7.8,4.6
196,Alfa Romeo,Giulietta,1.4 TB MultiAir TCT,Inline,4,Gasoline,5.1,6.6,4.3
197,Alfa Romeo,Giulietta,1.6 JTDm MT,Inline,4,Diesel,4.4,5.5,3.7
198,Alfa Romeo,Giulietta,1.75 Quadrifoglio Verde TBi MT,Inline,4,Gasoline,7.6,10.8,5.8
199,Alfa Romeo,Giulietta,2.0 JTDm MT,Inline,4,Diesel,4.7,5.8,4.1
200,Alfa Romeo,GT,1.8 MT,Inline,4,Gasoline,8,11,6
201,Alfa Romeo,GT,1.9 JTD MT,Inline,4,Diesel,6,8,5
202,Alfa Romeo,GT,2.0 MT,Inline,4,Gasoline,8,12,6
203,Alfa Romeo,GT,2.0 Selespeed,Inline,4,Gasoline,8.7,12.2,6.7
204,Alfa Romeo,GT,3.2 MT,V-type,6,Gasoline,12,18,8
205,Alfa Romeo,GTV,2.0 JTS MT,Inline,4,Gasoline,9.2,13.3,6.8
206,Alfa Romeo,GTV,2.0 MT,Inline,4,Gasoline,9.2,13.3,6.8
207,Alfa Romeo,GTV,3.2 MT,V-type,6,Gasoline,13.2,19.9,9.3
208,Alfa Romeo,MiTo,1.3 Multijet II MT,Inline,4,Diesel,4.3,5.5,3.6
209,Alfa Romeo,MiTo,1.3 Multijet MT,Inline,4,Diesel,4.5,6,3.6
210,Alfa Romeo,MiTo,1.4 MT,Inline,4,Gasoline,5.9,7.7,4.8
211,Alfa Romeo,MiTo,1.4 MT GPl,Inline,4,Gasoline,8.1,10.6,6.6
212,Alfa Romeo,MiTo,1.4 MT Junior,Inline,4,Gasoline,5.9,7.7,4.8
213,Alfa Romeo,MiTo,1.4 MT MultiAir,Inline,4,Gasoline,5.7,7.5,4.7
214,Alfa Romeo,MiTo,1.4 MT MultiAir,Inline,4,Gasoline,5.6,7.4,4.5
215,Alfa Romeo,MiTo,1.4 MT MultiAir,Inline,4,Gasoline,6,8.1,4.8
216,Alfa Romeo,MiTo,1.4 T-Jet MT,Inline,4,Gasoline,6.5,8.5,5.3
217,Alfa Romeo,MiTo,1.4 TBi MT,Inline,4,Gasoline,6.1,8.1,5
218,Alfa Romeo,MiTo,1.4 TCT MultiAir,Inline,4,Gasoline,5.5,7.1,4.5
219,Alfa Romeo,MiTo,1.6 JTD MT,Inline,4,Diesel,4.8,5.9,4.1
220,Alfa Romeo,MiTo,0.9 MT,inline,2,petrol,4.2,5,3.8
221,Alfa Romeo,MiTo,1.4 AMT,inline,4,petrol,5.5,7.3,4.5
222,Alfa Romeo,MiTo,1.4 AMT,inline,4,petrol,5.4,7,4.4
223,Alfa Romeo,MiTo,1.4 AMT,inline,4,petrol,5.4,7,4.4
224,Alfa Romeo,MiTo,1.4 MT,inline,4,petrol,5.6,7.4,4.5
225,Alfa Romeo,MiTo,1.4 MT,inline,4,petrol,6,8.1,4.5
226,Alfa Romeo,MiTo,1.4 MT,inline,4,petrol,5.8,7.6,4.7
227,Alfa Romeo,MiTo,1.4 MT,inline,4,petrol,5.9,7.7,4.8
228,Alfa Romeo,MiTo,1.6 MT,inline,4,diesel,4.8,5.9,4.1
229,Alfa Romeo,MiTo,0.9 MT TwinAir,Inline,2,Gasoline,4.2,5,3.8
230,Alfa Romeo,MiTo,1.3 MT JTD,Inline,4,Diesel,3.5,4.4,2.9
231,Alfa Romeo,MiTo,1.4 MT MultiAir,Inline,4,Gasoline,5.6,7.4,4.5
232,Alfa Romeo,MiTo,1.4 MT MultiAir,Inline,4,Gasoline,6,8.1,4.8
233,Alfa Romeo,MiTo,1.4 TCT MultiAir,Inline,4,Gasoline,5.4,7,4.4
234,Alfa Romeo,MiTo,1.4 TsT MultiAir,Inline,4,Gasoline,5.5,7.1,4.5
235,Alfa Romeo,MiTo,1.6 MT JTD,Inline,4,Diesel,4.4,5.3,3.8
236,Alfa Romeo,S.Z./R.Z.,3.0 MT,V-type,6,Gasoline,9,13,7
237,Alfa Romeo,Spider,2.0 MT,Inline,4,Gasoline,9.2,13.3,6.8
238,Alfa Romeo,Spider,2.0 MT,Inline,4,Gasoline,9.2,13.3,6.8
239,Alfa Romeo,Spider,2.0 MT,Inline,4,Gasoline,9,13.1,6.6
240,Alfa Romeo,Spider,3.0 MT,V-type,6,Gasoline,11.7,16.8,8.8
241,Alfa Romeo,Spider,3.2 MT,V-type,6,Gasoline,13.2,19.9,9.2
242,Alfa Romeo,Spider,2.2 MT,Inline,4,Gasoline,9.5,13.2,7.3
243,Alfa Romeo,Spider,3.2 AT 4x4,V-type,6,Gasoline,9.3,18.6,8.6
244,Alfa Romeo,Spider,3.2 MT 4X4,V-type,6,Gasoline,11,16,8
245,Alfa Romeo,Stelvio,2.0 AT Q4,Inline,4,Gasoline,7,8.9,5.9
246,Alfa Romeo,Stelvio,2.0 AT Q4,Inline,4,Gasoline,7,8.9,5.9
247,Alfa Romeo,Stelvio,2.2 D AT,Inline,4,Diesel,4.7,5.5,4.3
248,Alfa Romeo,Stelvio,2.2 D AT,Inline,4,Diesel,4.7,5.5,4.3
249,Alfa Romeo,Stelvio,2.2 D AT Q4,Inline,4,Diesel,4.8,5.5,4.4
250,Alfa Romeo,Stelvio,2.2 D AT Q4,Inline,4,Diesel,4.8,5.5,4.4
251,Alpina,B10,3.3 MT,Inline,6,Gasoline,10,14.7,7
252,Alpina,B10,3.3 MT,Inline,6,Gasoline,10,14,7
253,Alpina,B10,4.6 AT Switchtronic,V-type,8,Gasoline,13,19,9
254,Alpina,B12,5.0 AT,V-type,12,Gasoline,10,19,8
