make,model,trim,cylinder_layout,number_of_cylinders,engine_type,mixed_fuel_consumption_per_100km,city_fuel_per_100km,highway_fuel_per_100km
Alfa Romeo,156,2.4 JTD MT,Inline,5,Diesel,6.6,8.9,5.4
Alfa Romeo,156,2.5 AT,V-type,6,Gasoline,11.8,17.5,8.5
Alfa Romeo,156,2.5 MT,V-type,6,Gasoline,11.8,17.5,8.5
Alfa Romeo,156,3.2 MT,V-type,6,Gasoline,12.1,18.4,8.8
Alfa Romeo,159,1.75 TBi MT,Inline,4,Gasoline,8.1,11.8,6
Alfa Romeo,159,1.8 MPI MT,Inline,4,Gasoline,7.6,10.3,6
Alfa Romeo,159,1.9 JTDM ECO MT,Inline,4,Diesel,5.2,6.6,4.4
Alfa Romeo,159,1.9 JTDM MT,Inline,4,Diesel,5.9,7.8,4.8
Alfa Romeo,159,1.9 JTDM Q-Tronic,Inline,4,Diesel,6.8,9.5,5.2
Alfa Romeo,159,1.9 JTS MT,Inline,4,Gasoline,8.7,12.2,6.6
Alfa Romeo,159,2.0 JTDM ECO MT,Inline,4,Diesel,5.1,6.6,4.3
Alfa Romeo,159,2.0 JTDM MT,Inline,4,Diesel,5.4,7.1,4.4
Alfa Romeo,159,2.2 JTS MT,Inline,4,Gasoline,9.4,13,7.3
Alfa Romeo,159,2.2 JTS Selespeed,Inline,4,Gasoline,9.2,12.8,7.1
Alfa Romeo,159,2.4 JTDM MT,Inline,5,Diesel,6.8,9.2,5.4
Alfa Romeo,159,2.4 JTDM Q-Tronic,Inline,5,Diesel,7.9,11.4,5.8
Alfa Romeo,159,2.4 JTDM Q4 MT,Inline,5,Diesel,7.2,9.7,5.8
Alfa Romeo,159,3.2 JTS MT,V-type,6,Gasoline,11,16.4,7.9
Alfa Romeo,159,3.2 JTS Q-tronic Q4,V-type,6,Gasoline,12.2,18.4,8.6
Alfa Romeo,159,3.2 JTS Q4 MT,V-type,6,Gasoline,11.4,16.7,8.3
Alfa Romeo,164,2.0 MT,Inline,4,Gasoline,8,10,6
Alfa Romeo,164,2.5 TD MT,Inline,4,Diesel,6,8,5
Alfa Romeo,164,3.0 AT,V-type,6,Gasoline,8.9,12.9,6.8
Alfa Romeo,164,3.0 MT,V-type,6,Gasoline,8,12,6
Alfa Romeo,164,3.0 V6 MT,V-type,6,Gasoline,8,12,6
Alfa Romeo,164,3.0i MT,V-type,6,Gasoline,9,11,7
Alfa Romeo,166,2.0 MT,Inline,4,Gasoline,9,13,7
Alfa Romeo,166,2.4 JTD MT,Inline,5,Diesel,7,10,5
Alfa Romeo,166,2.5 MT,V-type,6,Gasoline,11,17,8
Alfa Romeo,166,3.0 MT,V-type,6,Gasoline,12,18,9
Alfa Romeo,166,3.2 MT,V-type,6,Gasoline,12,18,9
Alfa Romeo,33,1.4 MT AWD,Opposed,4,Gasoline,7.8,9.5,5.8
Alfa Romeo,33,1.4 MT,Opposed,4,Gasoline,7.9,9.9,5.7
Alfa Romeo,33,1.5 MT,Opposed,4,Gasoline,8,10.4,6
Alfa Romeo,33,1.7 MT AWD,Opposed,4,Gasoline,7.6,10.9,5.7
Alfa Romeo,33,1.7 MT,Opposed,4,Gasoline,7.6,9.9,5.7
Alfa Romeo,33,1.8 TD MT,Opposed,4,Diesel,7,7.3,4.9
Alfa Romeo,4C,1.7 TCT,Inline,4,Gasoline,6.8,9.8,5
Alfa Romeo,75,2.0 MT,Inline,4,Gasoline,8.6,10.2,6.2
Alfa Romeo,75,2.4 TD MT,Inline,4,Diesel,7.4,8.9,5.5
Alfa Romeo,75,3.0 MT,V-type,6,Gasoline,9.8,12,7
Alfa Romeo,Brera,2.2 AT,Inline,4,Gasoline,9.8,13.7,7.9
Alfa Romeo,Brera,2.2 JTS MT,Inline,4,Gasoline,9.4,13,7.3
Alfa Romeo,Brera,2.4 JTD MT,Inline,5,Diesel,6.8,8.8,5.4
Alfa Romeo,Brera,3.2 AT,V-type,6,Gasoline,12,18,8
Alfa Romeo,Brera,3.2 JTS MT,V-type,6,Gasoline,11.5,16.9,8.4
Alfa Romeo,GT,1.8 MT,Inline,4,Gasoline,8,11,6
Alfa Romeo,GT,1.9 JTD MT,Inline,4,Diesel,6,8,5
Alfa Romeo,GT,2.0 MT,Inline,4,Gasoline,8,12,6
Alfa Romeo,GT,2.0 Selespeed,Inline,4,Gasoline,8.7,12.2,6.7
Alfa Romeo,GT,3.2 MT,V-type,6,Gasoline,12,18,8
